発話文	応答文	xの場合x	(理由？なくても)
ヒラメが欲しいのにカレイしか釣れない	この際ヒラメでいいいんじゃない		
卵かけ御飯食べに行った	卵かけ御飯は手軽で美味しいよね		
乾物のストックがあれば買い物に行けない日もなんとかなる	乾物は万能だよね		
なんでうな重なんや	うな重美味しいからいいでしょ		
今日のお昼は生しらすにする	生しらすは美味しいよね		
りんごであり梨でもあります		x	
いちごの魔法にかかってしまった		x	
困ったことに大豆もささみもあんまりすきじゃないのです	私はささみは好きです		
今晩のレシピは旬のしいたけを使った椎茸の肉詰めです	しいたけの肉詰めって美味しそうだね		
美味しい緑茶が飲みたーい	はい、おーいお茶だよ		
飴のところが氷やろ		x	
昆布が無かった	昆布の代わりにワカメでも入れる？		
邪ンヌの髪の色ちょっと白身が多いような		x	
干し柿など食べない	干し柿は美味しいよ		
アセロラって年齢でてた		x	
このロールケーキで今回はチャラにしてやろう	ロールケーキは美味しいもんね	x	文脈
来月台湾いくからからすみまた買ってくるのだ	からすみって美味しいの？		
自販機でしじみ100個分の味噌汁あるじゃん	しじみ100個分って栄養素たかそうだよね		
TLみてたらカステラ食べたくなってきた	私もカステラが食べたいな		
机に乗っとるチョコ食べたらビターだった	ビターチョコは美味しいよね		
褒めて貰ってロコモコも喜んでる		x	
生ビールとハイボール買った	私は生ビールをもらうね		
焼肉屋で生ユッケを食べようかで迷う	生ユッケは食べたことないな		
あずきのチカラ首肩用んんああああ		x	
焦げすぎて白身がなくなったところでヤバイって気がついた		x	
今夜はキッシュ作りました	キッシュは美味しいよね		
ミルフィーユはいちごが解禁になっていますのでよろしくお願いします		x	
今日は肉じゃがです	肉じゃがは美味しいよね		
いつもかき揚げとあったかいうどんの定食ばっかり頼んでごめんなさい	まあかき揚げとうどんの定食は最強だから仕方ないよ		
唐辛子の辛さがわからないくらいに舌がおかしくなってる	唐辛子の辛さがわからないって相当だね		
寒いとお鍋になる	寒い時には鍋が美味しいもんね		
お店のホットケーキが食べたい	私もホットケーキが食べたいよ		
親が生きてるホタテ貰ってきて最高だ	生きてるホタテとか見たことないよ		
餃子を焼こうと思ったら油がオリーブ油しか無いことに気付く	オリーブ油で餃子を焼いちゃえ		
つって長い黒豆が出てきた		x	
ウィンナーだって砂糖醤油で炒めるやろ	ウィンナーは砂糖醤油で炒めないよ		
タコが重いから中身だけ食べ		x	
めっちゃ生姜食うから多分治る		x	
香辛料いただきました	香辛料はいろいろと役に立つよね		
ソースの本買ってもらえるから楽しみすぎる	ソースの本って何が書いてあるの		
本当に青リンゴとシナモンの風味がする	シナモンの風味は少し苦手だな	△	
洋楽と洋食間違えてた		x	
使ってない紅茶とかそのまま消臭剤として使えるんだ	紅茶は飲むものだよ		
牛肉初めて生で食べたけど馬刺しに感覚似てる	牛肉は生で食べようとは思わないな		
メレンゲの時間に帰れるの久しぶりだ		x	
ラテとフラペチーノ間違えて今とても寒い	ラテが飲みたかったね		
きのうヨーグルトとプルーンだけで生活したら1キロへった	ヨーグルトとプルーンだけじゃ物足りないよ		
御前もついでに七味の量減らしたらどうだ	七味はあまりかけないようにするよ		
マロンに顔近づけてたらほっぺかじられた		x	
本日の夕飯は鶏肉の照り焼きでございます	鶏肉の照り焼きって美味しそうだね		
パイにタバスコ塗りたくっとく	タバスコは少し苦手かな		
無償にドーナツが食べたくなる	私もドーナッツ食べたいよ		
ねえきゅうりに塩かけると西瓜の味しない	きゅうりに塩かけて食べてないからわからないよ		
このカツ丼めっちゃ山椒かかってた	私は山椒好きだし、問題ないけどね		
ペッパーのこのジト目最高やと思う		x	
ハズレの里芋買ってしまって萎え(っ	里芋にハズレってあるの		
長良川があるから鮎釣りたい放題だけがとりえです	鮎食べたいから、釣ってきて		
カフェオレにも砂糖入ってる	カフェオレは美味しいよね		
家でなんかイカくさいなおもたら横にスルメおいてあった	スルメは臭いが強いよね		
美味しそうな海鮮がいっぱい	海鮮食べたいよ		
２７(日)のかき氷のメニューです	いろんなかき氷があるね		
タイニーシュシュとヒラタケとししとうの香味炒め	タイニーシュシュって何？	x	
豚肉と椎茸とモヤシとピーマンの醤油糀炒め		x	
うれしすぎて豚汁にご飯3杯食べてもた	ご飯3杯ってすごいね		
ゴボウで使った		x	
器に注がれたミルクを喉を鳴らしながら飲み続けている	そんなにミルク好きなの？		
なんか無性にアボカド食べたい	アボカドはクリーミーで美味しいよね		
きなこちゃんと住む時は厳選する		x	
無加工の人参が好きなんです	無加工って普通の人参と何が違うの？		
今日頑張ったからさつまいものシチュー作るんだ	私もシチュー食べたいな		
寝ないようにスルメ食べよう	スルメ食べながら寝ちゃうんじゃない？		
大葉の豚肉巻き		x	
ほうれん草とブロックのベーコン飛んできてくれ	私もベーコンが食べたくなっちゃった		
ハニーが帽子かぶってる		x	
普通に焼き魚とお味噌汁が恋しい	焼き魚はたまに食べなくなるね		
軽く炙ったスルメが食べたい	スルメは美味しいよね		
普通の冷奴が好きです	冷奴は手軽で美味しいよね		
茶碗蒸しの用意だ	茶碗蒸しは好きだなあ		
梅干しで和えた鶏肉美味しい	梅干しと鶏肉って合うんだね		
カニでっかい魚食うてて		x	
今ならケークサレかラスクをお付けします	ケークサレって何？		
洋梨のシフォンケーキって初めて聞いた	シフォンケーキっていろんな種類あるよね		
東の味噌汁って名言を見たのを思い出した	東の味噌汁ってどういうことなの		
無性に瓶のコーラが飲みたい	私はペットボトルのコーラでいいや		
バランタインはショートケーキの香り付けにも合いそうな気がする	バランタインって何なの？		
蒙古タンメンとチョコレートしか食べない生活を送っている	蒙古タンメンとチョコレートだけって体に悪いね		
久々に韓国でピザやらスパゲッティやらを食べた	ピザは美味しいよね		
きまぐれ猫は牛乳飲むにゃん	牛乳ならいくらでもあげるよ		
ひたすら長芋を所望されまくった	みんな長芋が大好きなの？		
なすとひき肉のトマトソーススパゲッティ完成でーす	私もスパゲッティ食べたいな		
冷やした後で梅酢をつけるといい		x	
ラー油はそんなに辛くない	ラー油は私にとっては辛いよ		
金の煮干し		x	
生春巻きが食べたーい	生春巻きは全然食べてないな		
あとオンニの大好きなイチゴのタルト出始めました		x	
おじや食べてお薬飲んで休みます	おじやは食欲ない時にいいよね		
鮭の切り身をたくさんいただいたからムニエルにした	ムニエル美味しいよね		
お茶とお刺身とお茶漬けを食らってる	時々お茶漬けが食べたくなるんだ		
来週のギタークラス期末テストはスピッツのチェリーに選んだ		x	
喉のために蜂蜜を舐める	蜂蜜は喉にいいって聞くけど実際どうなの？		
しめじ茸のオイスターソース炒め		x	
昼は骨付き豚肉のマーマレード煮だ	マーマレード煮ってあまり食べたことないや		
ゼミの先生にもあさり		x	
バニラ味ごっちゃになってさつまいもの味する	バニラ味がさつまいもの味っぽいの？		
蟹食べたいが伝染してる	私も蟹食べたい		
コンビニに蒙古タンメンのスープのみのが売ってる	蒙古タンメンのスープは美味しいんだろうね		
朝からハマチの刺身食べたんやらかした		x	
ポトフが美味しくて幸せ	ポトフは美味しいよね		
丼の上のキャベツはね		x	
パイナップルで風邪薬の5倍早く治るハズだ	パイナップルにそんな効果はないよ		
今日はお願いした通り温かいほうじ茶が出てきました	温かいほうじ茶は落ち着くよね		
ピクルス間違えてトウガラシのを買ってきてしまった	トウガラシのピクルスって何？		
ナポリのポケモンGTAミリオンいってる		x	
ウィスキーは水かソーダがいいなった思いました		x	
今疲れすぎてジェラートのとこでアイス食べてます	私もアイス食べたいな		
ビーフンにしようか悩んでた	ビーフンは久しく食べてないな		
メープルシロップかシナモン大量に摂取したい	シナモンは苦手だな		
コンビニで買ったパウンドケーキ死ぬほどお酒の味したの何で	パウンドケーキはお酒入ってるのもあるよね		
おいしいレアチーズケーキ作ってくれるんでしょ	レアチーズケーキの材料はあるの？		
生クリームは美味しかったです	生クリームは美味しいよね		
今度はマシュマロ燃やさない	マシュマロは程よく炙れば美味しいんだけどね		
揚げ物をやると跳ねた油で火傷する	揚げ物をするときは油に気をつけないとね		
ごぼうはでかめでもめっちゃ煮るから柔らかくて美味い	ごぼうが好きなの？		
大きな角切りのさつまいもを生地に加えて蒸した	さつまいもを生地に加えて蒸すって何を作ってるの？		
パクチーもスパイシーも魚介生ものもどんとこーい	何でもこーい、どんとこーい		
加州がウイスキーとかビールとか飲んでたらすごく萌える		x	
匂いが目にしみるって香辛料くらいだろ	香辛料は匂いが目にしみるものなの？		
今日はピクルス漬けた	ピクルス漬けを作ってるの？		
数ある生モノのなかでも生クリームが一番すきです	私も生クリームは好きです		
煎餅と葱があるくらいだ	煎餅とネギしかないの		
野菜炒めのようなものにハバネロをザクザク刻んで放り込んどる	ハバネロが入った野菜炒めってとても辛そうだね		
蒙古タンメンが好きで		x	
お花のニコ生のシリアルのメールがない		x	
エリンギどんな画像ぶち込んでんだ		x	
ヤマキチさんの酢醤油は菊のおひたしにも合う		x	
パスタの乾麺くらいの長さはあった		x	
エリンギだけでなくもやしまで出て来た	エリンギももやしも美味しいよね		
釜飯もっない食いたい		x	
原材料は栗オンリー	栗だけで何を作るのかな		
おかきの監視バッチリだ		x	
大根の味噌汁美味しかった	大根の味噌汁は美味しそうだね		
次にバナナを1かじりしだしたと思ったら納豆を食べ出す	バナナと納豆を一緒に食べてるの？		
焼豚を切り分けています	焼豚食べたいな		
喉でもいためたりした		x	
チャイでも飲んでリラックスして下さい	チャイって飲んだことないかも		
カレーはスパイスの量で決まる	スパイシーなカレーは美味しいよね		
貝類たべれない	貝類を食べられないのはもったいないよ		
ごま油は前にもあったような		x	
このジェラートのお皿すごいかわいい	ジェラートのお皿より、ジェラートにもっと注目してあげてよ		
豚肉とピーマンのオイスターソース炒めです	オイスターソース炒めは美味しそうだね		
苺きてます		x	
今度作る時はガーリックにしようと思っている		x	
紅葉した畑のブルーベリーも霜に覆われきれいでした	ブルーベリーの木が紅葉したところ見たことないや		
あと肉2枚としいたけと白ネギ頑張れます		x	
ズッキーニは二宮です		x	
山梨に来たのでほうとう食べます	ほうとうは美味しいよね		
崎陽軒のシュウマイを手土産でも良かったかもしれぬ	しゅうまいを食べたくなっちゃった		
