発話文	応答文	xの場合x	(理由？なくても)
タマゴかけご飯を食べさせようという	たまごかけご飯は美味しいですよ		
このサイズのシナモンが一番写真として撮りやすいです		x	写真
フライと塩焼きにして食べた		x	何を
久しぶりににんにくたっぷりラーメン食べたら自分が臭い	でもニンニクたっぷりだと美味しいですよね		
今こんにゃくでできた麺も美味しい	どんな食感何ですかね		
巨峰のカップカーキ最高でした	それは美味しそうですね		
豆腐ときのこ多め鍋だ	冬に鍋は最高ですね		
わさびが辛いです	辛いのは苦手ですか		
ドーナツのＣＭ見た瞬間に甘いものを摂取したくなった	ドーナツ美味しいですよね		
こんな冬に冷やし中華が食べたくなってしまった	たまに食べたくなりますもんね		
鶏肉がお安い	買い時ですかね		
歌わなかったし油揚げ取られてたけどかわいかった		x	意味
ゼリー食べたいから買って帰ろ	何味が好きですか		
酒を酒で流し込みます	飲み過ぎには注意してくださいね		
揚げ物終わったらドーナツも作るんだった	出来上がりが楽しみですね		
牛乳とサラダ野菜買って帰ろう	野菜は大事ですね		
きのこと山菜入ってる		x	何に
逆にクレープうまい		x	比較対象
100パー押し麦飯食べてみたい		x	意味
辛子があるからこそ納豆が成り立つ	そういう食べ方もあるんですね		
東南アジアのスープです		x	何が
ホタテとキャベツの塩バター炒め	食欲をそそりますね		
さつま揚げと黒豚肉うどーん	とても美味しそうですね		
すっぴんとすっぽんぽんを合わせた		x	意味
牛乳とはちみつの味しかしない		x	何が
とんかつ屋にケチャップがあるとないとで		x	何
今度はヨモギのお麩を焼いて柚味噌つけて食べよう	どんな味になるのか楽しみですね		
サラサラサラっとマグロラーメンのスープのように一丁あがり		x	意味
最後のデザートの生クリームとパイ生地のパンチ力半端ない	デザートはかかせませんかね		
お刺身は食べなくてもいいけどホタテ焼いたの食べたい	それは美味しそうですね		
手荷物検査でお兄さんにバッチリさつまいもみられてすごいはずかしい		x	意味
カレーならハイボールでスパイスの香りを強めるのもありだ	そういう方法もあるんですか		
栗の皮剥いてたら爪割れた	気をつけてくださいね		
磯の香りと醤油の味しかしない		x	何が
明太子美味すぎて辛い	ご飯が進みますよね		
ピーマンがTwitterやってます		x	意味
ローズマリーの香りが良い		x	食べ物じゃない
起き上がってごはんをつくり食べる	朝食は大事ですもんね		
初めてエスプレッソ飲んだ	美味しかったですか		
今日はケーキとカツ丼買ってこよう	栄養のバランスに気をつけてくださいね		
お気に入りのクリームチーズのせた	それは美味しくなりそうですね		
山吹色のイチョウの木を眺めながら頂いた柿を食べる	風景もいいと美味しく感じますね		
アボカド美味しいって聞くけどうーん	好き嫌いが分かれるかもしれませんね		
夕飯に牛肉出てきた	美味しかったですか		
テーブルのブラックペッパーが良く合います		x	何に
お土産で貰った紅茶を飲みながらとうらぶ	こぼさないように気をつけてくださいね		
スーパーフライデーで31のアイスクリーム貰おうと思ったらめっちゃ並んでて		x	途中
豚汁には俄然		x	何
セブンから生スイートポテトが姿を消していた	お気に入りだったんですか		
炊飯器で蒸したさつまいもが美味しすぎる	そういう方法もあるんですね		
長芋揚げ美味しすぎてもうビール空く	飲み過ぎには注意してくださいね		
朝から豚汁作ってるが豚肉ない事に気付く	肉なしでも大丈夫ですかね		
フグとお酒たらふくお腹に入れてきた	食べ過ぎには注意ですよ		
タグの反応ありです!出来れば一緒にイカしましょ		x	意味
カレーの甘口全然辛くない	まぁ甘口ですからね		
おみやげに干し柿を忘れずに買おう	買い忘れには注意ですね		
白米も好きだけど雑穀ごはんがいい	体に良さそうですからね		
カステラもラーメンも明太子もある	どれも美味しいものばかりですね		
シーチキンの缶洗ってたら指切れた	気をつけてくださいね		
鶏肉だんご	好きなんですか		
鮭でなく鱒じゃなかった		x	意味
細かくいうとラーメンに乗ってるメンマが食べたい	メンマ好きなんですか		
はぁ今日もにごり酒美味しゅうございます	飲み過ぎには注意してくださいね		
お夕飯は秋刀魚の梅煮			
搾った果汁は鍋で使いました	アクセントになっていいかもしれませんね		
根菜が合う気がする		x	何に
みつばちマーチがサムネだとカステラに見える		x	意味
甘味と果汁がハンパないです		x	何の
ニャビーのタマゴいる人おる		x	意味
白菜の中心の柔らかいところは千切りにしてサラダにする	それはいいかもしれませんね		
とりあえず夜は軽くウインナーと野菜を軽くボイルして終わり	何に使う予定なんですか		
ラムの燻製がはちゃめちゃうまいです	食べてみたくなりますね		
めっちゃカワハギ釣れとる	大漁ですか		
昨日食べたドーナツ美味しかった	ドーナツは美味しいですよね		
胡麻を摩りながら待つ		x	食べ物じゃない
葛根湯飲んでヨーグルト食ってカモミールティーを飲んで寝る	体には気をつけてくださいね		
のどが痛くてしょうがない		x	食べ物じゃない
初めて自分からカフェオレを飲む	お口に合いますかね		
お夕飯の秋刀魚を片手に足を止めました	何かあったんですか		
オレオのマフィンも食べに行きたい	どんな味なのか気になりますね		
鶏肉の上のトマトが光ってた		x	意味
やはり雑炊で我慢しよう	雑炊もいいと思いますよ		
鯨のノルウェー風が食べたい	味が気になりますね		
桜餅食べました	桜餅好きですよ		
そういえば大量のキウイが余ってるんだった	ダメになる前に食べないといけませんね		
塩コショウとレモンでたべたい		x	何を
もう好きなことして食って寝てやる		x	意味
三名槍記念で相方が赤飯を炊いた		x	意味
何より玉葱とアサリのスープが幸せ	あっさりとして良さそうですね		
いちじく美味しくないまずい	好き嫌いが分かれるものなんですね		
レンジでチンしてオーブンでブンして食べてください		x	何を
マスカットと巨峰がたっぷり	どちらも好きですね		
ドレッシングは飲み物である	かけすぎるといけませんよ		
卵の黄身が美味しそうでいいと思います	たまごは万能ですよね		
ホットのミルクティーと梅買って逃げ恥見ながら食べてた	くつろげましたかね		
琥珀色の液体と黒の液体のチャンポンに切り替えます		x	意味
サラダに花が乗っている	食用の花なんですかね		
リンゴの真ん中らへんってこう見るとなんか気持ち悪い	あまりじっと見ることはないですからね		
お鍋めっちゃ美味しかった	冬にはやっぱり鍋ですよね		
今日は甘納豆持ってきたから疲れたら食べよう	疲れた時はやっぱり甘いものですよね		
コーラで風呂入ればいい	それは大丈夫なんですかね		
有名なシャンパンであるドンペリは偶然生まれたものである	そうなんですか勉強になります		
ピザは野菜だからヘルシーだ	野菜主体のピザもありますよね		
ダチョウのもも肉のステーキがあります	目面いいかもしれませんね		
あったかいほうじ茶寝る前頂きます	温かいもの飲むと落ち着きますよね		
ソルトは6RTされたら		x	意味
13g75円の人参があります	それは安いほうなんですかね		
偽トロがイカレちまったを開始しました		x	食べ物じゃない
麺類の1杯目は前菜と同じ	しっかり噛んで食べてくださいね		
今食ってるチーズケーキがマヨネーズの味する...？え	それはどんな現象なんでしょうかね		
ぽずはみりんを扱えるようになった		x	意味
蓮根と鳥の甘辛炒めで一杯いかが	相性が良さそうですね		
やばいジンギスカンvs尋常じゃない海鮮の戦いが終わらない		x	意味
昼飯に買ったバナナのパウンドケーキ美味しくない	ハズレでしたか		
コーラの景品につられ		x	途中
おかゆは飲み物に決まりました	ゆっくり食べてくださいよ		
くま型のフライパンを誕生日にもらってホットケーキ焼いたら	それは可愛らしいですね		
そのあと適当にご飯食べて帰ろう		x	その
夕餉は洋食にしてみました	洋食も和食もどちらもいいですね		
余ってたカッテージチーズの消費にマフィン焼いて今クッキー焼いてる	出来上がりが楽しみですね		
