発話文	応答文	xの場合x	(理由？なくても)
ワッフルとミルクティーが欲しいと右脳が騒いでいる	甘いもの食べたいんだね		
痩せたいとか言うのにチョコを食べてしまう	甘いものおいしいもんね		
あずきやきゅうりなどの利尿作用のあるものを食べるといい		ｘ	
正月の雑煮はもう個人で作るようになった	正月しか食べないもんね		
餅もたべたからマジで	そうなんだ、おいしかった？		
髪の毛乾かしててちょっとでもひっきたいショコラがほんまに可愛い		ｘ	
酒やハーブで長時間下茹でするなど下ごしらえが必要		ｘ	
ほんとどうして虎徹はいつもこうすっぽんぽん		ｘ	
栗とカシス合わせるって最近流行り	意外に合いそうだね		
ミッション叩いたらドーナツ落ちるん		ｘ	
卵巻くの苦戦した	卵焼き難しいよね		
久しぶりにテキーラ流し込みしてぇ	飲みすぎ注意してね		
バジルは外したけど怖い		ｘ	
読むたびに発見があるしそのたびに泣いてしまう		ｘ	
月曜はいたずら妖精初級と中級のクエだ		ｘ	
クラスの女子から調理実習のマフィンを貰った	よかったじゃん、おいしかった？		
さつまいもごはんにはしめじも入れてみた	炊き込みご飯おいしいよね		
近所の寿司屋でヤリイカと紋甲イカだけ食ってきた	イカ好きなんだね		
冷えに効果的なカシスのお紅茶飲む	カシスの紅茶とか初めて聞いた		
団子にして学校行きたい		ｘ	
タラコ美味しいから好き	たらこパスタ好きだよ		
まぁモンブランの下マフィンにすればええんやろ		ｘ	
鳥飼ってると鶏肉食べられないんじゃない	新鮮な鶏肉食べられそう		
紅茶を飲もう	体にいいもんね		
アンチョビどうしても回線落ちてしまう		ｘ	
最大の目的はコースター揃えることで		ｘ	
ひじきは明日はお昼から休みです		ｘ	
肉汁が圧倒的に足りない		ｘ	
バームクーヘンはお昼ごはんに食べたので夜はカプリコを食べる	子供のころよく食べた		
蟹はもうやらん		ｘ	
さつまいも煮てみた	甘くておいしそう		
就活の本がシュークリームに化けました		ｘ	
牛肉とフォアグラのコラボとかも最高やん	高級な味がしそう		
辛味が効いてそう	辛いの食べると食欲増すよね		
アップルティーにアップルパイなんて如何でしょう	リンゴづくしだね		
セーターと髪の毛がいまだに焼き魚臭い	焼き魚食べたの？		
まどまどのツイートで馬刺し食べたくなってきた		ｘ	
セブンイレブンの長ネギのみそ汁に勝てるインスタントみそ汁ってないと思う	コンビニのお惣菜おいしいよね		
すっぽんで似たようなことやったことがある		ｘ	
一応ソースは上海音楽室です		ｘ	
拉麺と餃子と米を食ってる	中華料理で定番の組み合わせだね		
チーズなどの乳製品がある	チーズなんにでも合うよね		
蜂蜜の代わりに練乳だったら		ｘ	
夜はうちで一緒にごはん食べることもあります	ごはんはみんなで食べた方がおいしいよね		
誕生日に貰ったチョコボールから銀のエンゼル出た	五枚集めると交換できるね		
秋刀魚と鶏皮旨い	お酒飲みたくなるね		
牛肉とえのきと蓮根のしぐれ煮	ごはんに合いそうだね		
次は一番最初にホッケ頼も	ほっけそんなに好きなの？		
午後ティーのエスプレッソ買った	ミルクティーしか買ったことない		
おこわ作ってるんだけどお腹減った	早く食べたいよね		
酒飲んで寝るのもある(なお	飲みすぎ注意してね		
ハーブが変な知識言い出した		ｘ	
ワサビ苦手な人は大葉を刻み		ｘ	
彼氏いないのでチキン食いながら競馬行きます	コンビニのチキンが好き		
謎のラスク食ってから気分悪い	賞味期限切れてるんじゃない？		
独り凍えてるくるみでした		ｘ	
和歌山の干し柿はメッチャ美味のだ	和歌山って柿有名だっけ？		
今日はグラタンと見せかけて角煮が作られていた	角煮の方が好き		
かき氷食べにいこ	練乳がかかったやつが好き		
甘栗むいちゃいましたのアイス食べたい	ファミマ限定だよね		
せんべいと名刺は渡す	煎餅みんな好きだもんね		
エクレア買うの完全に忘れとった	今から買っておいで		
緑茶を飲んでいます	風邪予防になるね		
今日は真鱈のお鍋です	締めの雑炊食べたい		
シュークリームも広島風お好み焼きも焼きそばも食べたくなった	胃もたれしそうだね		
メロンパンとマーガリンは論外	メロンパンおいしいじゃん		
我が家の調味料に胡椒が加わった	胡椒いままでなかったの？		
緑茶を飲むと不思議な安心感に包まれる	飲みすぎると寝れなくなるよ		
やっぱ甘口でもピリッとくるからカレー苦手	カレーは辛い方がおいしい気がする		
キウイで一杯くださいっ		ｘ	
酢豚に入ったらしく		ｘ	
いつも料理作ってくれてありがとう	いままで料理したことないよ？		
３％のピンクグレープフルーツとジンジャーは親にあげた	酸っぱいものきらいなの？		
くるみん鬼可愛い		ｘ	
シリアルのために円盤をつむつむ		ｘ	
キノコの原木だ	普段あんまみれないよね		
唐辛子はちょっと苦手	辛すぎるのは私も苦手		
カフェラテ飲みすぎて寝れない	カフェインとりすぎだよ		
唐辛子がそのまま地面から生えているみたいに見える		ｘ	
ごはん食べるかどうか迷う	食べないと体調壊すよ		
この珈琲の苦味と甘味の中和が何とも	ブラックコーヒの方が好き		
パセリの塔からこんにちわ		ｘ	
モツでも骨折でもなく		ｘ	
おでんはさつま揚げが大好きです	おでんにさつま揚げって入ってるっけ？		
エビもイカも嫌いだけど仲良くなろ		ｘ	
魚を釣るのにワーム等いらん	どうやって釣るの？		
からしはないけどラー油入れてみた	ラー油でも合いそうだね		
今日買ったレタスがこんなに傷んでいた	芯がきれいなやつが新鮮だよ		
うずらの卵嫌いです	普通の卵は好きなの？		
さつまいもを90分の旅に出した	長旅だね		
蟹工船からの蟹の安直さにクラスタに怒られる		ｘ	
みりんにあわなすぎて寂しい	みりんって万能だと思ってた		
素麺のおじさまだ		ｘ	
ほんと魔剤ってその時によってアジ変わらない		ｘ	
もうグラタンと付き合えよ		ｘ	
洋梨が溶けるほどにうまい	ラフランスと洋ナシって同じものだっけ？		
もやしを入れて今日も鍋です	もやしコスパいいよね		
コーラが突然溢れ出します	落としちゃったの？		
1000円もしない甘めの赤ワインぐびぐび	安くてもおいしいワインってよくあるよね		
聖杯戦争に参加したことがある蟹です		ｘ	
今日昼も夜も豆腐とか湯葉食べた	健康によさそう		
唐揚げにソースかけたみたいな強化やめーや		ｘ	
オリーブの塩漬けがまずい	漬け方間違えたんじゃない？		
ストーリー上いなくても支障はないけどスパイスとして欲しい		ｘ	
朝からスパゲティーなんてたべるんじゃなかった	胃もたれ凄そうだね		
99LINEのソルトです		ｘ	
何でハニーがあんなに可愛いのかちょっと一緒に考えて欲しいんだ		ｘ	
牡蠣を素手で触ったまゆが悪かった		ｘ	
今朝は雑煮を作ってしまいました	正月以外にも雑煮って作るんだね		
出汁用の干し椎茸はケチらず良いものを使う	旨みが変わるもんね		
ロールケーキ巻くのいつも失敗する	自分で作るなんてすごいね		
マーブルの年末イベントに参戦しやす		ｘ	
ラウンドワンのフライドポテトは塩加減ちょうどええやん	マックのフライドポテトが一番好き		
貝になりたいとか言うじゃない		ｘ	
サフランの開花絵が死ぬほど可愛いからアロエも確実に可愛い		ｘ	
黒鯛に合わせて煮たせいで		ｘ	
人参は食べ物じゃない	ニンジンおいしいじゃん		
麦焼酎の水割りがぶがぶ呑みたい	飲みすぎ注意してね		
揚げたてはサックサクで美味しいのです	揚げ物は揚げたてが一番おいしい		
緑茶飲んではちみつも舐めよ	風邪予防になるね		
インスタントのスープはるさめ作ってたら足つった	気を付けてね		
我が家の小さい冷凍庫に常備されてるのは明太子です	明太子だけでごはん食べられるよね		
カリーに勝てるやん		ｘ	
里芋じゃなかった	山芋だったの？		
鶏肉といろいろ野菜のバジル炒め	鶏肉コスパいいよね		
豚バラとほうれん草と豆腐と大根おろしポン酢だけで毎日食べたい	湯豆腐みたいだね		
ご飯を食べる前に１杯の水を飲むだけで		ｘ	
セブンイレブン安定の春巻きな	コンビニのお惣菜おいしいよね		
打ち合わせ先で小松菜頂いた	小松菜のお浸しが好き		
玉ねぎのヘルシーかつ	どこらへんがヘルシーなの？		
東ハトオールレーズンが大好きなんです	少し高いけどおいしいよね		
玉ねぎは初めてです	今まで食べたことなかったの！？		
ハッシュドビーフ作って食べて水割り飲んでて眠たい	水割りと合わなさそう		
その後白トリュフの卵かけ御飯にして頂きました	トリュフ高くて食べたことない		
おさかなとソーセージと一緒なら		ｘ	
豆腐と納豆という字は入れ替わっている		ｘ	
ちょっと寝てからおじや作ろ	風邪ひいちゃったの？		
とりあえず赤ワインの方が好みっぽい	白ワインの方がフルーティで好き		
椎茸あるのにじゃがいもない	今から買っておいで		
アセロラとクチナシが可愛いすぎてこじらせました		ｘ	
ティラミスのマックフルーリーきょーかちゃんが作ってくれた		ｘ	
